n ,PEG+H ,PEG+NH4 ,PEG+Na ,PEGMME+H ,PEGMME+NH4 ,PEGMME+Na 
1,63.0446,80.07115,85.02655,77.06025,94.0868,99.0422
2,107.07082,124.09737,129.05276,121.08647,138.11302,143.06841
3,151.09703,168.12358,173.07898,165.11268,182.13923,187.09463
4,195.12325,212.1498,217.10519,209.1389,226.16545,231.12084
5,239.14946,256.17601,261.13141,253.16511,270.19166,275.14706
6,283.17568,300.20223,305.15762,297.19133,314.21788,319.17327
7,327.20189,344.22844,349.18384,341.21754,358.24409,363.19949
8,371.22811,388.25466,393.21005,385.24376,402.27031,407.2257
9,415.25432,432.28087,437.23627,429.26997,446.29652,451.25192
10,459.28054,476.30709,481.26248,473.29619,490.32274,495.27813
11,503.30675,520.3333,525.28869,517.3224,534.34895,539.30434
12,547.33297,564.35952,569.31491,561.34862,578.37517,583.33056
13,591.35918,608.38573,613.34112,605.37483,622.40138,627.35677
14,635.3854,652.41195,657.36734,649.40105,666.4276,671.38299
15,679.41161,696.43816,701.39355,693.42726,710.45381,715.4092
16,723.43783,740.46438,745.41977,737.45348,754.48003,759.43542
17,767.46404,784.49059,789.44598,781.47969,798.50624,803.46163
18,811.49026,828.5168,833.4722,825.50591,842.53245,847.48785
19,855.51647,872.54302,877.49841,869.53212,886.55867,891.51406
20,899.54269,916.56923,921.52463,913.55834,930.58488,935.54028
21,943.5689,960.59545,965.55084,957.58455,974.6111,979.56649
22,987.59511,1004.62166,1009.57706,1001.61077,1018.63731,1023.59271
23,1031.62133,1048.64788,1053.60327,1045.63698,1062.66353,1067.61892
24,1075.64754,1092.67409,1097.62949,1089.66319,1106.68974,1111.64514
25,1119.67376,1136.70031,1141.6557,1133.68941,1150.71596,1155.67135
26,1163.69997,1180.72652,1185.68192,1177.71562,1194.74217,1199.69757
27,1207.72619,1224.75274,1229.70813,1221.74184,1238.76839,1243.72378
28,1251.7524,1268.77895,1273.73435,1265.76805,1282.7946,1287.75
29,1295.77862,1312.80517,1317.76056,1309.79427,1326.82082,1331.77621
30,1339.80483,1356.83138,1361.78678,1353.82048,1370.84703,1375.80243
31,1383.83105,1400.8576,1405.81299,1397.8467,1414.87325,1419.82864
32,1427.85726,1444.88381,1449.83921,1441.87291,1458.89946,1463.85485
33,1471.88348,1488.91003,1493.86542,1485.89913,1502.92568,1507.88107
34,1515.90969,1532.93624,1537.89163,1529.92534,1546.95189,1551.90728
35,1559.93591,1576.96246,1581.91785,1573.95156,1590.97811,1595.9335
36,1603.96212,1620.98867,1625.94406,1617.97777,1635.00432,1639.95971
37,1647.98834,1665.01489,1669.97028,1662.00399,1679.03053,1683.98593
38,1692.01455,1709.0411,1713.99649,1706.0302,1723.05675,1728.01214
39,1736.04077,1753.06732,1758.02271,1750.05642,1767.08296,1772.03836
40,1780.06698,1797.09353,1802.04892,1794.08263,1811.10918,1816.06457
41,1824.0932,1841.11974,1846.07514,1838.10884,1855.13539,1860.09079
42,1868.11941,1885.14596,1890.10135,1882.13506,1899.16161,1904.117
43,1912.14563,1929.17217,1934.12757,1926.16127,1943.18782,1948.14322
44,1956.17184,1973.19839,1978.15378,1970.18749,1987.21404,1992.16943
45,2000.19805,2017.2246,2022.18,2014.2137,2031.24025,2036.19565